family,FO_plastic,mean_num_plast,sample_size,num_studies
Soleidae,0.7348586810228802,1.9797148996,743,4
Mugilidae,0.41904761904761906,2.48291666675,210,5
Myctophidae,0.3106060606060606,0.6944939892727273,1452,7
Carangidae,0.20965842167255594,1.7267247806538462,849,15
Pleuronectidae,0.19248217757615035,0.44346177366666667,1543,7
