Binomial,Common name,Order,Family,Trophic level via fishbase,NwP,N,Prop w plastic,Mean num particles per indv,Habitat,Average depth,All_forage,Prime_forage,Second_forage,Primary_aggregation,Secondary_aggregation,Commercial,Aquaculture,Recreational ,IUCN status,Vulnerability score (via fishbase from Cheug et al 2005),Oceanographic province (from Longhurst 2007),Basin,Gyre,Year of collection,Publication year,Source,Includes microplastic,Notes
Bairdiella ronchus,Ground croaker,Perciformes,Sciaenidae,3.5,0,4,0,0,demersal,28,Benthic foraging,Benthic foraging,,,,commercial,N,N,LC,27,GUIA,South Atlantic,Amazon River Estuary,,2018,de Souza e Silva Pegado et al. 2018,Y,
Batrachoides surinamensis,Pacuma toadfish,Batrachoidiformes,Batrachoididae,3.7,0,1,0,0,demersal,18.5,Particulate feeder,Particulate feeder,,,,commercial,N,N,LC,60,GUIA,South Atlantic,Amazon River Estuary,,2018,de Souza e Silva Pegado et al. 2018,Y,
Caranx crysos,Blue runner,Perciformes,Carangidae,4.1,0,3,0,0,reef-associated,50,Particulate feeder,Particulate feeder,Benthic foraging,Schooling,,minor commercial,N,Y,LC,34,GUIA,South Atlantic,Amazon River Estuary,,2018,de Souza e Silva Pegado et al. 2018,Y,
Caranx hippos,Crevalle jack,Perciformes,Carangidae,3.6,3,3,1,30.7,reef-associated,175.5,Benthic foraging,Benthic foraging,,Schooling,,commercial,N,Y,LC,41,GUIA,South Atlantic,Amazon River Estuary,,2018,de Souza e Silva Pegado et al. 2018,Y,
Chaetodipterus faber,Atlantic spadefish,Perciformes,Ephippidae,4.5,0,5,0,0,reef-associated,12.5,Particulate feeder,Particulate feeder,Benthic foraging,Schooling,,minor commercial,Y,Y,LC,49,GUIA,South Atlantic,Amazon River Estuary,,2018,de Souza e Silva Pegado et al. 2018,Y,
Colomesus psittacus,Banded puffer,Tetraodontiformes,Tetraodontidae,3.6,0,2,0,0,demersal,20.5,Benthic foraging,Benthic foraging,,Solitary,,none,N,N,LC,25,GUIA,South Atlantic,Amazon River Estuary,,2018,de Souza e Silva Pegado et al. 2018,Y,
Conodon nobilis,Barred grunt,Perciformes,Haemulidae,3.6,0,8,0,0,demersal,50.5,Particulate feeder,Particulate feeder,,,,commercial,N,N,LC,27,GUIA,South Atlantic,Amazon River Estuary,,2018,de Souza e Silva Pegado et al. 2018,Y,
Ctenosciaena gracilicirrhus,Barbel drum,Perciformes,Sciaenidae,3.9,0,11,0,0,demersal,45,Benthic foraging,Benthic foraging,,,,minor commercial,N,N,LC,32,GUIA,South Atlantic,Amazon River Estuary,,2018,de Souza e Silva Pegado et al. 2018,Y,
Cynoponticus savanna,Guayana pike-conger,Anguilliformes,Muraenesocidae,3.5,0,1,0,0,demersal,50,Benthic foraging,Benthic foraging,,,,minor commercial,N,N,LC,68,GUIA,South Atlantic,Amazon River Estuary,,2018,de Souza e Silva Pegado et al. 2018,Y,
Cynoscion jamaicensis,Jamaica weakfish,Perciformes,Sciaenidae,3.8,0,3,0,0,demersal,36.5,Active predation,Active predation,,,,commercial,N,Y,LC,32,GUIA,South Atlantic,Amazon River Estuary,,2018,de Souza e Silva Pegado et al. 2018,Y,
Cynoscion leiarchus,Smooth weakfish,Perciformes,Sciaenidae,3.1,1,2,0.5,0.5,demersal,30,Particulate feeder,Particulate feeder,,,,commercial,N,Y,LC,37,GUIA,South Atlantic,Amazon River Estuary,,2018,de Souza e Silva Pegado et al. 2018,Y,
Cynoscion microlepidotus,Smallscale weakfish,Perciformes,Sciaenidae,4,3,16,0.1875,0.24375,demersal,15,,,,,,commercial,N,N,LC,56,GUIA,South Atlantic,Amazon River Estuary,,2018,de Souza e Silva Pegado et al. 2018,Y,
Cynoscion virescens,Green weakfish,Perciformes,Sciaenidae,4,1,7,0.142857143,0.42857,demersal,38,Active predation,Active predation,,,,commercial,N,Y,LC,59,GUIA,South Atlantic,Amazon River Estuary,,2018,de Souza e Silva Pegado et al. 2018,Y,
Epinephelus itajara,Atlantic goliath grouper,Perciformes,Serranidae,4.1,0,2,0,0,reef-associated,50,Active predation,Active predation,,Solitary,,minor commercial,N,Y,VU,70,GUIA,South Atlantic,Amazon River Estuary,,2018,de Souza e Silva Pegado et al. 2018,Y,
Genyatremus luteus,Torroto grunt,Perciformes,Haemulidae,3.5,0,8,0,0,demersal,20,Benthic foraging,Benthic foraging,,,,minor commercial,N,N,LC,35,GUIA,South Atlantic,Amazon River Estuary,,2018,de Souza e Silva Pegado et al. 2018,Y,
Gymnothorax ocellatus,Ocellated moray,Anguilliformes,Muraenidae,4.1,0,1,0,0,reef-associated,80.5,Benthic foraging,Benthic foraging,,Solitary,,minor commercial,N,N,LC,58,GUIA,South Atlantic,Amazon River Estuary,,2018,de Souza e Silva Pegado et al. 2018,Y,
Haemulon plumierii,White grunt,Perciformes,Haemulidae,3.8,0,13,0,0,reef-associated,21.5,Benthic foraging,Benthic foraging,,Schooling,,minor commercial,N,Y,LC,62,GUIA,South Atlantic,Amazon River Estuary,,2018,de Souza e Silva Pegado et al. 2018,Y,
Haemulon steindachneri,Chere-chere grunt,Perciformes,Haemulidae,3.7,0,5,0,0,reef-associated,25,Benthic foraging,Benthic foraging,,Schooling,,minor commercial,N,N,,34,GUIA,South Atlantic,Amazon River Estuary,,2018,de Souza e Silva Pegado et al. 2018,Y,
Lutjanus analis,Mutton snapper,Perciformes,Lutjanidae,3.9,1,3,0.333333,0.333333,reef-associated,60,Benthic foraging,Benthic foraging,,Schooling,,highly commercial,N,Y,NT,55,GUIA,South Atlantic,Amazon River Estuary,,2018,de Souza e Silva Pegado et al. 2018,Y,
Lutjanus synagris,Lane snapper,Perciformes,Lutjanidae,3.8,1,2,0.5,0.5,reef-associated,45.5,Benthic foraging,Benthic foraging,,Schooling,,commercial,N,Y,NT,37,GUIA,South Atlantic,Amazon River Estuary,,2018,de Souza e Silva Pegado et al. 2018,Y,
Macrodon ancylodon,King weakfish,Perciformes,Sciaenidae,3.9,1,13,0.076923077,0.153846,demersal,30,Particulate feeder,Particulate feeder,,,,minor commercial,N,N,LC,36,GUIA,South Atlantic,Amazon River Estuary,,2018,de Souza e Silva Pegado et al. 2018,Y,
Menticirrhus americanus,Southern kingcroaker,Perciformes,Sciaenidae,3.5,0,1,0,0,demersal,20,Benthic foraging,Benthic foraging,Active predation,,,commercial,N,Y,LC,38,GUIA,South Atlantic,Amazon River Estuary,,2018,de Souza e Silva Pegado et al. 2018,Y,
Micropogonias furnieri,Whitemouth croaker,Perciformes,Sciaenidae,3.1,0,6,0,0,demersal,30,Benthic foraging,Benthic foraging,,Schooling,,highly commercial,N,N,LC,31,GUIA,South Atlantic,Amazon River Estuary,,2018,de Souza e Silva Pegado et al. 2018,Y,
Mustelus canis,Dusky smooth-hound,Carcharhiniformes,Triakidae,3.6,0,1,0,0,demersal,400,Active predation,Active predation,,Schooling,,commercial,N,Y,NT,87,GUIA,South Atlantic,Amazon River Estuary,,2018,de Souza e Silva Pegado et al. 2018,Y,
Mustelus higmani,Smalleye smooth-hound,Carcharhiniformes,Triakidae,3.6,0,2,0,0,demersal,450.5,Active predation,Active predation,,,,commercial,N,N,LC,47,GUIA,South Atlantic,Amazon River Estuary,,2018,de Souza e Silva Pegado et al. 2018,Y,
Narcine brasiliensis,Brazilian electric ray,Torpediniformes,Narcinidae,3.2,1,6,0.166666667,0.5,reef-associated,22,Benthic foraging,Benthic foraging,,Schooling (seasonal),,subsistence,N,N,DD,35,GUIA,South Atlantic,Amazon River Estuary,,2018,de Souza e Silva Pegado et al. 2018,Y,
Notarius grandicassis,Thomas sea catfish,Siluriformes,Ariidae,4,0,4,0,0,demersal,10.5,,,,,,minor commercial,N,N,LC,54,GUIA,South Atlantic,Amazon River Estuary,,2018,de Souza e Silva Pegado et al. 2018,Y,
Ophichthus cylindroideus,Dusky snake eel,Anguilliformes,Ophichthidae,4,1,2,0.5,1,demersal,35,,,,,,none,N,N,LC,43,GUIA,South Atlantic,Amazon River Estuary,,2018,de Souza e Silva Pegado et al. 2018,Y,
Ophichthus ophis,Spotted snake eel,Anguilliformes,Ophichthidae,4.5,0,1,0,0,demersal,25,Active predation,Active predation,,,,subsistence,N,N,LC,75,GUIA,South Atlantic,Amazon River Estuary,,2018,de Souza e Silva Pegado et al. 2018,Y,
Orthopristis ruber,Corocoro grunt,Perciformes,Haemulidae,3.6,0,2,0,0,demersal,35.5,Benthic foraging,Benthic foraging,,,,commercial,N,N,LC,33,GUIA,South Atlantic,Amazon River Estuary,,2018,de Souza e Silva Pegado et al. 2018,Y,
Paralonchurus brasiliensis,Banded croaker,Perciformes,Sciaenidae,3.4,0,6,0,0,demersal,25,Benthic foraging,Benthic foraging,,,,minor commercial,N,N,LC,25,GUIA,South Atlantic,Amazon River Estuary,,2018,de Souza e Silva Pegado et al. 2018,Y,
Peprilus paru,American harvestfish,Perciformes,Stromateidae,4.5,0,2,0,0,benthopelagic,75.5,Particulate feeder,Particulate feeder,,Schooling,,minor commercial,N,N,LC,17,GUIA,South Atlantic,Amazon River Estuary,,2018,de Souza e Silva Pegado et al. 2018,Y,
Polydactylus oligodon,Littlescale threadfin,Perciformes,Polynemidae,3.7,1,1,1,3,demersal,,,,,,,minor commercial,N,N,LC,27,GUIA,South Atlantic,Amazon River Estuary,,2018,de Souza e Silva Pegado et al. 2018,Y,
Polydactylus virginicus,Barbu,Perciformes,Polynemidae,3.7,0,13,0,0,demersal,27.5,Benthic foraging,Benthic foraging,,Schooling (juv),,minor commercial,N,N,LC,22,GUIA,South Atlantic,Amazon River Estuary,,2018,de Souza e Silva Pegado et al. 2018,Y,
Pomatomus saltatrix,Bluefish,Perciformes,Pomatomidae,4.5,0,2,0,0,pelagic-oceanic,100,Active predation,Active predation,,Schooling,,highly commercial,N,Y,VU,63,GUIA,South Atlantic,Amazon River Estuary,,2018,de Souza e Silva Pegado et al. 2018,Y,
Rachycentron canadum,Cobia,Perciformes,Rachycentridae,4,0,1,0,0,reef-associated,600,Active predation,Active predation,,Schooling,Spawning,minor commercial,Y,Y,LC,44,GUIA,South Atlantic,Amazon River Estuary,,2018,de Souza e Silva Pegado et al. 2018,Y,
Rhinoptera bonasus,Cownose ray,Myliobatiformes,Myliobatidae,3.2,0,1,0,0,benthopelagic,11,Benthic foraging,Benthic foraging,,Schooling,,minor commercial,N,N,NT,63,GUIA,South Atlantic,Amazon River Estuary,,2018,de Souza e Silva Pegado et al. 2018,Y,
Scomberomorus brasiliensis,Serra Spanish mackerel,Perciformes,Scombridae,3.3,0,1,0,0,reef-associated,,Particulate feeder,Particulate feeder,Filter-feeder: facultative,,,commercial,N,Y,LC,67,GUIA,South Atlantic,Amazon River Estuary,,2018,de Souza e Silva Pegado et al. 2018,Y,
Selene setapinnis,Atlantic moonfish,Perciformes,Carangidae,3.7,0,1,0,0,benthopelagic,27.5,Particulate feeder,Particulate feeder,,Schooling,,highly commercial,N,N,LC,27,GUIA,South Atlantic,Amazon River Estuary,,2018,de Souza e Silva Pegado et al. 2018,Y,
Selene vomer,Lookdown,Perciformes,Carangidae,4.3,1,2,0.5,1,demersal,27,Benthic foraging,Benthic foraging,,,,minor commercial,N,Y,LC,32,GUIA,South Atlantic,Amazon River Estuary,,2018,de Souza e Silva Pegado et al. 2018,Y,
Sphyrna tiburo,Bonnethead,Carcharhiniformes,Sphyrnidae,3.9,2,2,1,9,reef-associated,45,Benthic foraging,Benthic foraging,,Schooling,,commercial,N,N,LC,50,GUIA,South Atlantic,Amazon River Estuary,,2018,de Souza e Silva Pegado et al. 2018,Y,
Trichiurus lepturus,Largehead hairtail,Perciformes,Trichiuridae,4.4,1,5,0.2,0.2,benthopelagic,294.5,Active predation,Active predation,Particulate feeder,Schooling,,highly commercial,N,Y,LC,57,GUIA,South Atlantic,Amazon River Estuary,,2018,de Souza e Silva Pegado et al. 2018,Y,
Trichiurus lepturus,Largehead hairtail,Perciformes,Trichiuridae,4.4,1,149,0.007,0.0067,benthopelagic,225,"Active predation, benthic foraging, particulate feeder",Active predation,Particulate feeder (juv),Schooling,,highly commercial,N,N,LC,57,BRAZ,North Pacific,Southeastern Brazil,,2014,Di Beneditto and Awabdi 2014,N,
Mullus barbatus,Red mullet,Perciformes,Mullidae,3.1,8,25,0.32,0.5,demersal,200,Benthic foraging,Benthic foraging,Benthic foraging,,,commercial,N,Y,LC,29,MEDI,North Pacific,Ionian Sea,Summer 2015,2018,Digka et al. 2018,Y,
Pagellus erythrinus,Common pandora,Perciformes,Sparidae,3.5,8,19,0.421052632,0.8,benthopelagic,60,"Active predation, benthic foraging, particulate feeder",Benthic foraging,Active predation,,,commercial,N,Y,LC,40,MEDI,North Pacific,Ionian Sea,Summer 2015,2018,Digka et al. 2018,Y,
Sardina pilchardus,European pilchard,Clupeiformes,Clupeidae,3.1,17,36,0.472222222,0.8,pelagic-neritic,100,"Filter-feeder: facultative, particulate feeder",Particulate feeder,Filter-feeder: facultative,Schooling,Spawning,highly commercial,N,N,LC,27,MEDI,North Pacific,Ionian Sea,Summer 2015,2018,Digka et al. 2018,Y,
Clupea harengus,Atlantic herring,Clupeiformes,Clupeidae,3.4,8,566,0.014,,benthopelagic,200,"Filter-feeder: facultative, particulate feeder",Filter-feeder: facultative,Particulate feeder,Schooling,,highly commercial,N,Y,LC,39,NECS,,North Sea,,2013,Foekema et al. 2013,Y,
Eutrigla gurnardus,Gray gurnard,Scorpaeniformes,Triglidae,3.9,0,171,0,,demersal,80,"Active predation, benthic foraging, particulate feeder",Benthic foraging,Active predation,,,commercial,N,N,Not assessed,30,NECS,,North Sea,"July-October 2010, January-Februrary 2011",2013,Foekema et al. 2013,Y,
Gadus morhua,Atlantic Cod,Gadiformes,Gadidae,4.1,10,80,0.125,0.1875,benthopelagic,175,"Active predation, benthic foraging, particulate feeder",Benthic foraging,Active predation,Schooling,Spawning,highly commercial,Y,Y,VU,65,NECS,,North Sea,,2013,Foekema et al. 2013,Y,
Herring sp.,Herring sp.,Clupeiformes,Clupeidae,,11,566,0.019434629,,pelagic-neritic,,"Filter-feeder: facultative, particulate feeder",Particulate feeder,Filter-feeder: facultative,,,,,,,,NECS,,North Sea,"July-October 2010, January-Februrary 2011",2013,Foekema et al. 2013,Y,"study doesn't discuss which fish ingest certain type of plastic just that there were 6 plastic particles founf from the southern North Sea (2 polyethylene, 2 polypropylene, 1 polyethyleentereftalaat, and 1 styrene-acrylate)"
Melanogrammus aeglefinus,Haddock,Gadiformes,Gadidae,4,6,97,0.06185567,0.06,demersal,105,"Benthic foraging, active predation ",Benthic foraging,Active predation,,,highly commercial,experimental,Y,VU,55,NECS,,North Sea,"July-October 2010, January-Februrary 2011",2013,Foekema et al. 2013,Y,
Merlangius merlangus,Whiting,Gadiformes,Gadidae,4.4,6,105,0.057,0.11,benthopelagic,65,"Active predation, benthic foraging, particulate feeder",Benthic foraging,,,,highly commercial,N,Y,LC,38,NECS,,North Sea,,2013,Foekema et al. 2013,Y,
Scomber scombrus,Atlantic mackerel,Perciformes,Scombridae,3.6,0,84,0,,pelagic-neritic,200,"Filter-feeder: facultative, particulate feeder",Particulate feeder,Filter-feeder: facultative,Schooling,,highly commercial,N,Y,LC,44,NECS,,North Sea,"July-October 2010, January-Februrary 2011",2013,Foekema et al. 2013,Y,
Trachurus trachurus,Atlantic horse mackerel,Perciformes,Carangidae,3.7,1,100,0.01,0.01,,150,"Active predation, benthic foraging, particulate feeder",Active predation,Particulate feeder,Schooling,,highly commercial,N,Y,VU,59,NECS,,North Sea,,2013,Foekema et al. 2013,Y,
Whiting sp.,Whiting sp.,,,,6,105,0.057142857,,,1375,,,,,,,,,,,NECS,,North Sea,"July-October 2010, January-Februrary 2011",2013,Foekema et al. 2013,Y,
,Horse mackerel sp.,Perciformes,Carangidae,,1,100,0.01,,,,"Filter-feeder: facultative, particulate feeder",Particulate feeder,Filter-feeder: facultative,Schooling,,,,,,,NECS,,North Sea,"July-October 2010, January-Februrary 2011",2013,Foekema et al. 2013,Y,
Abudefduf sordidus,Blackspot sergeant,Perciformes,Pomacentridae,2.9,0,1,0,0,reef-associated,1.5,"Particulate feeder, grazing",Particulate feeder,Grazing,Schooling,,minor commercial,N,N,LC,32,SPSG,South Pacific,"French Polynesia, Henderson Island, Lord Howe Island",2015-2016,2018,Forrest and Hindell 2018,Y,
Caranx melampygus,Bluefin trevally,Perciformes,Carangidae,4.5,0,1,0,0,reef-associated,95,"Active predation, benthic foraging, particulate feeder",Active predation,Particulate feeder,Schooling,,minor commercial,N,Y,LC,56,SPSG,South Pacific,"French Polynesia, Henderson Island, Lord Howe Island",2015-2016,2018,Forrest and Hindell 2018,Y,
Caranx sexfasciatus,Bigeye trevally,Perciformes,Carangidae,4.5,0,3,0,0,reef-associated,73,"Active predation, benthic foraging, particulate feeder",Active predation,Particulate feeder,Schooling,,minor commercial,N,Y,LC,45,SPSG,South Pacific,"French Polynesia, Henderson Island, Lord Howe Island",2015-2016,2018,Forrest and Hindell 2018,Y,
Chlorurus sordidus,Daisy parrotfish,Perciformes,Scaridae,2.4,1,4,0.25,0.25,reef-associated,25,Grazing,Grazing,,Schooling,,commercial,N,N,LC,19,SPSG,South Pacific,"French Polynesia, Henderson Island, Lord Howe Island",2015-2016,2018,Forrest and Hindell 2018,Y,
Coris aygula,Clown coris,Perciformes,Labridae,3.7,0,1,0,0,reef-associated,16,Benthic foraging,Benthic foraging,,Solitary,,minor commercial,N,Y,LC,72,SPSG,South Pacific,"French Polynesia, Henderson Island, Lord Howe Island",2015-2016,2018,Forrest and Hindell 2018,Y,
Coryphaena hippurus,Common dolphinfish,Perciformes,Coryphaenidae,4.4,0,1,0,0,pelagic-neritic,7.5,"Active predation, benthic foraging",Active predation,Benthic foraging,Schooling,,highly commercial,Y,Y,LC,40,SPSG,South Pacific,"French Polynesia, Henderson Island, Lord Howe Island",2015-2016,2018,Forrest and Hindell 2018,Y,
Epinephelus fasciatus,Blacktip grouper,Perciformes,Serranidae,3.7,0,17,0,0,reef-associated,32.5,"Active predation, benthic foraging",Benthic foraging,Active predation,,,commercial,N,Y,LC,53,SPSG,South Pacific,"French Polynesia, Henderson Island, Lord Howe Island",2015-2016,2018,Forrest and Hindell 2018,Y,
Epinephelus sp.,,Perciformes,Serranidae,,0,1,0,0,reef-associated,,,,,,,,,,,,SPSG,South Pacific,"French Polynesia, Henderson Island, Lord Howe Island",2015-2016,2018,Forrest and Hindell 2018,Y,
Epinephelus sp.,,Perciformes,Serranidae,,0,1,0,0,reef-associated,,,,,,,,,,,,TASM,South Pacific,"French Polynesia, Henderson Island, Lord Howe Island",2015-2016,2018,Forrest and Hindell 2018,Y,
Gymnosarda unicolor,Dogtooth tuna,Perciformes,Scombridae,4.5,0,2,0,0,reef-associated,140,Active predation,Active predation,,Solitary,,minor commercial,N,Y,LC,73,SPSG,South Pacific,"French Polynesia, Henderson Island, Lord Howe Island",2015-2016,2018,Forrest and Hindell 2018,Y,
Kuhlia sandvicensis,Hawaiian flagtail,Perciformes,Kuhliidae,3.8,2,15,0.133333333,0.133333333,benthopelagic,10,,,,,,none,N,Y,Not assessed,32,SPSG,South Pacific,"French Polynesia, Henderson Island, Lord Howe Island",2015-2016,2018,Forrest and Hindell 2018,Y,
Kyphosus pacificus ,Pacific drummer,Perciformes,Kyphosidae,,0,15,0,0,reef-associated,10,,,,,,none,N,N,Not assessed,56,SPSG,South Pacific,"French Polynesia, Henderson Island, Lord Howe Island",2015-2016,2018,Forrest and Hindell 2018,Y,
Kyphosus sydneyanus,Silver drummer,Perciformes,Kyphosidae,2,0,10,0,0,demersal,,Grazing,Grazing,,Schooling,,subsistence,N,N,Not assessed,59,TASM,South Pacific,"French Polynesia, Henderson Island, Lord Howe Island",2015-2016,2018,Forrest and Hindell 2018,Y,
Lutjanus gibbus,Humpback red snapper,Perciformes,Lutjanidae,4.1,0,1,0,0,reef-associated,75.5,"Active predation, benthic foraging",Benthic foraging,,Schooling,,commercial,N,Y,LC,35,SPSG,South Pacific,"French Polynesia, Henderson Island, Lord Howe Island",2015-2016,2018,Forrest and Hindell 2018,Y,
Mulloidichthys flavolineatus,Yellowstripe goatfish,Perciformes,Mullidae,3.8,0,2,0,0,reef-associated,38.5,Benthic foraging,Benthic foraging,,,,commercial,N,Y,LC,39,SPSG,South Pacific,"French Polynesia, Henderson Island, Lord Howe Island",2015-2016,2018,Forrest and Hindell 2018,Y,
Myripristis amaena,Brick soldierfish,Beryciformes,Holocentridae,3.6,0,10,0,0,reef-associated,38.5,Benthic foraging,Benthic foraging,,Schooling,,none,N,N,LC,37,SPSG,South Pacific,"French Polynesia, Henderson Island, Lord Howe Island",2015-2016,2018,Forrest and Hindell 2018,Y,
Naso brachycentron,Humpback unicornfish,Perciformes,Acanthuridae,2.7,0,1,0,0,reef-associated,17.5,"Grazing, particulate feeder",Grazing,,Schooling,,none,N,N,LC,67,SPSG,South Pacific,"French Polynesia, Henderson Island, Lord Howe Island",2015-2016,2018,Forrest and Hindell 2018,Y,
Oxycheilinus unifasciatus,Ringtail maori wrasse,Perciformes,Labridae,4.1,0,1,0,0,reef-associated,75.5,Benthic foraging,Benthic foraging,,Solitary,,minor commercial,N,N,LC,44,SPSG,South Pacific,"French Polynesia, Henderson Island, Lord Howe Island",2015-2016,2018,Forrest and Hindell 2018,Y,
Scarus sp.,,Perciformes,Scaridae,,0,1,0,0,reef-associated,,,,,,,,,,,,SPSG,South Pacific,"French Polynesia, Henderson Island, Lord Howe Island",2015-2016,2018,Forrest and Hindell 2018,Y,
Seriola lalandi,Yellowtail amberjack,Perciformes,Carangidae,4.2,0,10,0,0,benthopelagic,,Active predation,Active predation,Particulate feeder,,,minor commercial,Y,Y,LC,69,SPSG,South Pacific,"French Polynesia, Henderson Island, Lord Howe Island",2015-2016,2018,Forrest and Hindell 2018,Y,
Sphyraena qenie,Blackfin barracuda,Perciformes,Sphyraenidae,4.5,1,7,0.142857143,0.142857143,reef-associated,50.5,"Active predation, benthic foraging",Active predation,,Schooling,,commercial,N,Y,Not assessed,76,SPSG,South Pacific,"French Polynesia, Henderson Island, Lord Howe Island",2015-2016,2018,Forrest and Hindell 2018,Y,
Thalassoma purpureum,Surge wrasse,Perciformes,Labridae,3.8,1,2,0.5,0.5,reef-associated,5,Benthic foraging,Benthic foraging,,,,minor commercial,N ,Y,LC,44,SPSG,South Pacific,"French Polynesia, Henderson Island, Lord Howe Island",2015-2016,2018,Forrest and Hindell 2018,Y,
Thalassoma trilobatum,Christmas wrasse,Perciformes,Labridae,3.8,1,4,0.25,0.25,reef-associated,5,Benthic foraging,Benthic foraging,,,,minor commercial,N,N,LC,35,SPSG,South Pacific,"French Polynesia, Henderson Island, Lord Howe Island",2015-2016,2018,Forrest and Hindell 2018,Y,
Variola louti,Yellow-edged lyretail,Perciformes,Serranidae,4.3,2,15,0.133333333,0.133333333,reef-associated,15,"Particulate feeder, benthic foraging",Particulate feeder,,,,commercial,N,Y,LC,49,SPSG,South Pacific,"French Polynesia, Henderson Island, Lord Howe Island",2015-2016,2018,Forrest and Hindell 2018,Y,
Alepisaurus ferox,Longsnouted lancetfish,Aulopiformes,Alepisauridae,4,1,1,1,1,bathypelagic,915,"Active predation, benthic foraging",Active predation,Benthic foraging,,,none,N,N,LC,83,AUSW,North Atlantic,Indian Gyre,August-September 2005,2008,Fujieda et al. 2008,N,
Makaira indica,Black marlin,Perciformes,Istiophoridae,4.5,1,1,1,1,pelagic-oceanic,100,"Active predation, benthic foraging",Active predation,Benthic foraging,,,commercial,N,Y,DD,78,AUSW,North Atlantic,Indian Gyre,August-September 2005,2008,Fujieda et al. 2008,N,
Seriola lalandi,Yellowtail amberjack,Perciformes,Carangidae,4.2,2,19,0.105263158,0.1053,benthopelagic,414,"Active predation, benthic foraging, particulate feeder",Particulate feeder,Active predation,Solitary,Schooling,minor commercial,experimental,Y,LC,69,NPSE,North Pacific,North Pacific subtropical convergence zone,2009,2013,Gassel et al. 2013,Y,
Sprattus sprattus,European sprat,Clupeiformes,Clupeidae,3,43,111,0.387387387,0.88,pelagic-neritic,80,Particulate feeder,Particulate feeder,,Schooling,,highly commercial,N,N,LC,33,NECS,North Atlantic,North Sea,,2016,GESAMP 2016,Y,
Argyrosomus regius,Meagre,Perciformes,Sciaenidae,4.3,17,51,0.333333333,0.53,benthopelagic,300,"Active predation, benthic foraging",Active predation,Benthic foraging,Spawning,,commercial,N,Y,LC,67,MEDI,Mediterranean,Mediterranean Sea,2015,2017,Guven et al. 2017,Y,
Caranx crysos,Blue runner,Perciformes,Carangidae,4.1,1,1,1,3,reef-associated,50,"Active predation, benthic foraging, particulate feeder",Benthic foraging,Particulate feeder,Schooling,,minor commercial,N,Y,LC,34,MEDI,Mediterranean,Mediterranean Sea,2015,2017,Guven et al. 2017,Y,
Dentex dentex,Common dentex,Perciformes,Sparidae,4.5,0,1,0,0,benthopelagic,100,"Active predation, benthic foraging",Active predation,Benthic foraging,,,commercial,Y,Y,VU,66,MEDI,Mediterranean,Mediterranean Sea,2015,2017,Guven et al. 2017,Y,
Dentex gibbosus,Pink dentex,Perciformes,Sparidae,4.1,2,14,0.142857143,0.14,benthopelagic,120,"Active predation, benthic foraging",Benthic foraging,Active predation,,,commercial,N,Y,LC,60,MEDI,Mediterranean,Mediterranean Sea,2015,2017,Guven et al. 2017,Y,
Diplodus annularis,Annular seabream,Perciformes,Sparidae,3.6,20,48,0.416666667,0.6,benthopelagic,45,"Active predation, benthic foraging, particulate feeder",Benthic foraging,,,,commercial,N,Y,LC,27,MEDI,Mediterranean,Mediterranean Sea,2015,2017,Guven et al. 2017,Y,
Lagocephalus spadiceus,Half-smooth golden pufferfish,Tetraodontiformes,Tetraodontidae,3.7,0,1,0,0,demersal,,not listed,,not listed,,,none,N,N,LC,31,MEDI,Mediterranean,Mediterranean Sea,2015,2017,Guven et al. 2017,Y,
Lithognathus mormyrus,Sand seabras,Perciformes,Sparidae,3.4,9,46,0.195652174,0.37,demersal,15,Benthic foraging,Benthic foraging,,Schooling,,minor commercial,N,Y,LC,40,MEDI,Mediterranean,Mediterranean Sea,2015,2017,Guven et al. 2017,Y,
Liza aurata,Golden gray mullet,Mugiliformes,Mugilidae,2.8,14,39,0.358974359,1.08,pelagic-neritic,,"Benthic foraging, scavenging, particulate feeder (juv)",Benthic foraging,Particulate feeder (juv),Schooling,,commercial,Y,N,LC,35,MEDI,Mediterranean,Mediterranean Sea,2015,2017,Guven et al. 2017,Y,
Mullus barbatus,Red mullet,Perciformes,Mullidae,3.1,85,207,0.410628019,0.66,demersal,200,Benthic foraging,Benthic foraging,,,,commercial,N,Y,LC,29,MEDI,Mediterranean,Mediterranean Sea,2015,2017,Guven et al. 2017,Y,
Mullus surmuletus,Surmullet,Perciformes,Mullidae,3.5,18,51,0.352941176,0.43,demersal,207,"Benthic foraging, active predation ",Benthic foraging,Active predation,,,commercial,N,Y,LC,39,MEDI,Mediterranean,Mediterranean Sea,2015,2017,Guven et al. 2017,Y,
Nemipterus randalli,Randall's threadfin bream,Perciformes,Nemipteridae,3.7,38,135,0.281481481,0.53,demersal,236,not listed,,not listed,,,minor commercial,N,N,Not assessed,18,MEDI,Mediterranean,Mediterranean Sea,2015,2017,Guven et al. 2017,Y,
Pagellus acarne,Axillary seabream,Perciformes,Sparidae,3.8,25,52,0.480769231,0.85,benthopelagic,70,"Active predation, benthic foraging",Benthic foraging,Active predation,,,commercial,N,Y,LC,43,MEDI,Mediterranean,Mediterranean Sea,2015,2017,Guven et al. 2017,Y,
Pagellus erythrinus,Common pandora,Perciformes,Sparidae,3.5,12,54,0.222222222,0.24,benthopelagic,60,"Active predation, benthic foraging",Benthic foraging,Active predation,,,commercial,N,Y,LC,40,MEDI,Mediterranean,Mediterranean Sea,2015,2017,Guven et al. 2017,Y,
