Species name,Common name,Order,Family,Diet,Trophic level via fishbase,NwP,N,Prop w plastic,average debris proportion (% mass),Type of debris,Color of debris,Average size of plastic,Size of fish,Habitat,Average depth,All_forage,Prime_forage,Second_forage,Primary_aggregation,Secondary_aggregation,Commercial,Aquaculture,Recreational ,IUCN status,Vulnerability score (via fishbase from Cheug et al 2005),Oceanographic province (from Longhurst 2007),Basin,Gyre,Year of collection,Publicaton year,Source,Notes
Sebastes caurinus,Copper rockfish,Scorpaeniformes,Sebastidae,predatory,4.1,0,1,0,0,N/A,n/a,,,demersal,96.5,"Active predation, benthic foraging",Benthic foraging,Active predation,Schooling (juv),,minor commercial,N,Y,Not assessed,58,CCAL,North Pacific,North Pacific,2014,2015,Rochman et al. 2015,
Oncorhynchus tshawytscha,Chinook Salmon,Salmoniformes,Salmonidae,predatory,4.4,1,4,0.25,0.25±0.5,fiber,n/a,,,benthopelagic,187.5,"Active predation, benthic foraging",Benthic foraging,Active predation,Schooling,,highly commercial,Y,Y,Not assessed,68,CCAL,North Pacific,North Pacific,2014,2015,Rochman et al. 2015,
Engraulis mordax,Pacific Anchovy,Clupeiformes,Engraulidae,zooplantivorous,3.1,3,10,0.3,0.3±0.5,"fiber, film, monofilament",n/a,,,pelagic-neritic,109.5,"Filter-feeder: facultative, particulate feeder",Filter-feeder: facultative,Particulate feeder,Schooling,,commercial,N,N,LC,30,CCAL,North Pacific,North Pacific,2014,2015,Rochman et al. 2015,
Oreochromis niloticus,Nile Tilapia,Perciformes,Cichlidae,"phytoplankton, benthic algae",2,0,5,0,0,n/a,n/a,,,benthopelagic,10,"Particulate feeder, grazing",Grazing,Particulate feeder,,,highly commercial,Y,N,LC,30,SUND,North Pacific,African rivers,2014,2015,Rochman et al. 2015,
Siganus fuscescens,Mottled spinefoot,Perciformes,Siganidae,herbivorous (algae),2,0,2,0,0,n/a,n/a,,,reef-associated,25.5,"Benthic foraging, grazing",Grazing,,Schooling,,commercial,Y,N,LC,21,SUND,North Pacific,North Pacific,2014,2015,Rochman et al. 2015,
Sebastes miniatus,Vermilion Rockfish,Scorpaeniformes,Sebastidae,no data,3.9,0,5,0,0,N/A,n/a,,,reef-associated,228.5,not listed,not listed,not listed,,,minor commercial,N,Y,Not assessed,63,CCAL,North Pacific,North Pacific,2014,2015,Rochman et al. 2015,
Sebastes flavidus,Yellowtail rockfish,Scorpaeniformes,Sebastidae,predatory,4.2,1,3,0.333333333,0.3±0.6,fiber,n/a,,,reef-associated,46,"Active predation, particulate feeder",Particulate feeder,Active predation,Schooling,,commercial,N,Y,Not assessed,56,CCAL,North Pacific,North Pacific,2014,2015,Rochman et al. 2015,
Spratelloides gracilis,Silver-stripe round herring,Clupeiformes,Clupeidae,zooplanktivorous,3.1,4,10,0.4,1.1±1.7,fragments,n/a,,,pelagic-neritic,20,"Filter-feeder: facultative, particulate feeder",Particulate feeder,Filter-feeder: facultative,Schooling,,minor commercial,N,N,LC,10,SUND,North Pacific,North Pacific,2014,2015,Rochman et al. 2015,
Decapterus macrosoma,Shortfin Scad,Perciformes,Carangidae,small invertebrates,3.4,5,17,0.294117647,2.5±6.3,"styrofoam, fragments",n/a,,,reef-associated,50,"Filter-feeder: facultative, particulate feeder",Particulate feeder,Filter-feeder: facultative,Schooling,,commercial,N,N,LC,17,SUND,North Pacific,North Pacific,2014,2015,Rochman et al. 2015,
Selar boops,Oxeye Scad,Perciformes,Carangidae,"planton, invertebrates",3.5,0,7,0,0,n/a,n/a,,,reef-associated,267.5,"Filter-feeder: facultative, particulate feeder",Particulate feeder,Filter-feeder: facultative,Schooling,,commercial,N,N,LC,14,SUND,North Pacific,North Pacific,2014,2015,Rochman et al. 2015,
Atherinopsis californiensis,Jacksmelt,Atheriniformes,Atherinopsidae,no data,2.3,2,7,0.285714286,1.6±3.7,"fibers, fragment",n/a,,,pelagic-neritic,15,"Benthic foraging, particulate feeder, grazing, scavenging",Particulate feeder,Benthic foraging,,,commercial,N,N,LC,33,CCAL,North Pacific,North Pacific,2014,2015,Rochman et al. 2015,
Rastrelliger kanagurta,Indian mackeral,Perciformes,Scombridae,"Phytoplankton, zooplankton",3.2,5,9,0.555555556,1±1.1,"fragment, film, monofilament",n/a,,,pelagic-neritic,55,"Filter-feeder: facultative, particulate feeder",Particulate feeder,Filter-feeder: facultative,Schooling,,highly commercial,N,Y,DD,21,SUND,North Pacific,North Pacific,2014,2015,Rochman et al. 2015,
Scomber japonicus,Chub mackerel,Perciformes,Scombridae,zooplantivorous,3.4,0,1,0,0,n/a,n/a,,,pelagic-neritic,200,"Filter-feeder: facultative, particulate feeder",Particulate feeder,Filter-feeder: facultative,Schooling,Spawning,highly commercial,Y,Y,LC,34,CCAL,North Pacific,North Pacific,2014,2015,Rochman et al. 2015,
Sebastes mystinus,Blue Rockfish,Scorpaeniformes,Sebastidae,zooplantivorous,2.7,2,10,0.2,0.2±0.4,fibers,n/a,,,reef-associated,366.5,"Active predation, benthic foraging, particulate feeder",Particulate feeder,Benthic foraging,Schooling,,none,N,Y,Not assessed,56,CCAL,North Pacific,North Pacific,2014,2015,Rochman et al. 2015,
Xiphias gladius,Swordfish,Perciformes,Xiphiidae,carnivorous (opportunistic),4.5,7,56,0.125,12.5% (%frequency),no data,"transparent, white, yellow, gray",Length: 3.69-55.40 mm and 0.0001-0.0158 g,,,275,Active predation,Active predation,,,,commercial,N,Y,EN,72,MEDI,Mediterranean,Central Mediterranean Sea,2012-2013,2015,Romeo et al. 2015,The frequency of plastic debris occurrence (F%) in these fish was estimated by the proportion of the individuals examined where plastics were present in the stomach contents.
Thunnus thynnus,Bluefin tuna,Perciformes,Scombridae,carnivorous (opportunistic),4.5,11,36,0.305555556,32.40%,no data,"transparent, white, yellow, blue, red",Length: 0.63-164.50 mm and 0.0001-5.5124 g,,pelagic-oceanic,50,"Active predation, benthic foraging, particulate feeder",Active predation,,Schooling,,commercial,Y,Y,EN,82,MEDI,Mediterranean,Central Mediterranean Sea,2012-2013,2015,Romeo et al. 2015,*has color and size of plastic fragments for each
Thunnus alalunga,Albacore tuna,Perciformes,Scombridae,carnivorous (specialist),4.3,4,31,0.129032258,0.129,no data,"transparent, white, blue",Length: 3.60-58.52 and 0.001-0.4285 g,,pelagic-oceanic,300,"Active predation, benthic foraging, particulate feeder",Active predation,Particulate feeder,Schooling,,highly commercial,N,Y,NT,58,MEDI,Mediterranean,Central Mediterranean Sea,2012-2013,2015,Romeo et al. 2015,
Platichthys flesus,Flounder,Pleuronectiformes,Pleuronectidae,,3.3,2,20,0.1,,,,,,demersal,50,"Benthic foraging, particulate feeder (juv)",Benthic foraging,Particulate feeder (juv),,,commercial,Y,Y,LC,42,NECS,North Atlantic,Baltic Sea,,2015,Rummel et al. 2016,
Limanda limanda,Common dab,Pleuronectiformes,Scophthalmidae,,3.4,4,74,0.054,,,,,,demersal,85,"Benthic foraging, active predation ",Benthic foraging,Active predation,,,commercial,N,N,LC,40,NECS,North Atlantic,North Sea,,2015,Rummel et al. 2016,
Gadus morhua,Atlantic Cod,Gadiformes,Gadidae,,4.1,1,74,0.014,,,,,,benthopelagic,175,"Active predation, benthic foraging, particulate feeder",Benthic foraging,Active predation,Schooling,Spawning,highly commercial,Y,Y,VU,65,NECS,North Atlantic,Baltic Sea,,2015,Rummel et al. 2016,
Scomber scombrus,Atlantic mackerel,Perciformes,Scombridae,,3.6,4,13,0.308,,,,,,pelagic-neritic,200,"Filter-feeder: facultative, particulate feeder",Particulate feeder,Filter-feeder: facultative,Schooling,,highly commercial,N,Y,LC,44,NECS,North Atlantic,Baltic Sea,,2015,Rummel et al. 2016,
Scomber scombrus,Atlantic mackerel,Perciformes,Scombridae,,3.6,5,38,0.132,,,,,,pelagic-neritic,200,"Filter-feeder: facultative, particulate feeder",Particulate feeder,Filter-feeder: facultative,Schooling,,highly commercial,N,Y,LC,44,NECS,North Atlantic,North Sea,,2015,Rummel et al. 2016,
Thunnus alalunga,Albacore tuna,Perciformes,Scombridae,,4.3,1,2,0.5,,,,,,pelagic-oceanic,300,"Active predation, benthic foraging, particulate feeder",Active predation,Particulate feeder,Schooling,,highly commercial,N,Y,NT,58,INDE,Indian Ocean,Arabian Sea,,2013,Sajikumar et al. 2013; from GESAMP 2016,
Scyliorhinus canicula,Lesser spoted dogfish,Carcharhiniformes,Scyliorhinidae,carnivore,3.8,3,20,0.15,,,,,,demersal,100,"Active predation, benthic foraging",Active predation,Benthic foraging,,,minor commercial,N,N,LC,62,NECS,North Atlantic,North Sea,41639,2018,Smith 2018,
Rastrelliger kanagurta,Indian mackeral,Perciformes,Scombridae,,3.2,5,10,0.5,,,,,,pelagic-neritic,55,"Filter-feeder: facultative, particulate feeder",Particulate feeder,Filter-feeder: facultative,Schooling,,highly commercial,N,Y,DD,21,INDE,Indian Ocean,Mangalore,2012,2014,Sulochanan et al. 2014,
Sardinella longiceps,Indian oil sardine,Clupeiformes,Clupeidae,,2.4,6,10,0.666666,,,,,,pelagic-neritic,110,"Benthic foraging, particulate feeder, grazing, filter-feeder: facultative",Particulate feeder,Filter-feeder: facultative,Schooling,,highly commercial,N,N,LC,17,INDE,Indian Ocean,Mangalore,2012,2014,Sulochanan et al. 2014,
Engraulis japonicus,Japanese anchovy,Clupeiformes,Engraulidae,planktivorous,3.1,49,64,0.765625,2.3,,,,,pelagic-neritic,200,"Filter-feeder: facultative, particulate feeder",Filter-feeder: facultative,Particulate feeder,,,commercial,N,Y,LC,40,KURO,North Pacific,Tokyo bay,2015,2016,Tanaka and Takada 2016,
Myctophum aurolaternatum,Golden lanternfish,Myctophiformes,Myctophidae,,3.5,0,3,0,0,n/a,n/a,n/a,not specified,bathypelagic,,"Benthic foraging, particulate feeder",Benthic foraging,Particulate feeder,,,none,N,N,Not assessed,36,NPTG,North Pacific,North Pacific Gyre (Philippine Sea),Feb. -April 2007,2013,Van Noord 2013,
Myctophum nitidulum,Pearly lanternfish,Myctophiformes,Myctophidae,,3.4,0,1,0,0,n/a,n/a,n/a,not specified,bathypelagic,974.5,Particulate feeder,Particulate feeder,,,,none,N,N,LC,28,NPTG,North Pacific,North Pacific Gyre (Philippine Sea),Feb. -April 2007,2013,Van Noord 2013,
Pleuronectes platessa,European plaice,Pleuronectiformes,Pleuronectidae,,3.2,54,109,0.495412844,0.724770642,,,,,demersal,50,"Active predation, benthic foraging",Benthic foraging,Active predation,,,highly commercial,Y,Y,LC,71,NECS,North Atlantic,,2009-2013?,2018,Welden et al. 2018,** Celtic Sea; amount consumed positively correlated with weight and velocity
Stomias boa,Boa dragonfish,Stomiiformes,Stomiidae,,4,6,9,0.666666667,,,,,,mesopelagic,1000,"Active predation, particulate feeder",Active predation,Particulate feeder,,,none,N,N,LC,42,GFST,North Atlantic,Northwest Atlantic,Spring 2015,2018,Wieczorek et al. 2018,
Serrivomer beanii,Stout sawpalate,Perciformes,Serrivomeridae,,3.9,13,14,0.928571429,,,,,,bathypelagic,2999,"Active predation, benthic foraging",Benthic foraging,Active predation,Solitary,,none,N,N,LC,44,GFST,North Atlantic,Northwest Atlantic,Spring 2015,2018,Wieczorek et al. 2018,
Diaphus rafinesquii,White-spotted lantern fish,Myctophiformes,Myctophidae,,3.4,24,34,0.705882353,,,,,,bathypelagic,1106.5,Particulate feeder,Particulate feeder,,,,none,N,N,LC,33,GFST,North Atlantic,Northwest Atlantic,Spring 2015,2018,Wieczorek et al. 2018,
Myctophum punctatum,Spotted lanternfish,Myctophiformes,Myctophidae,,3.4,64,86,0.744186047,,,,,,bathypelagic,500,Particulate feeder,Particulate feeder,,,,none,N,N,LC,32,GFST,North Atlantic,Northwest Atlantic,Spring 2015,2018,Wieczorek et al. 2018,
Lampanyctus macdonaldi,Rakery beaconlamp,Myctophiformes,Myctophidae,,3.1,12,16,0.75,,,,,,bathypelagic,762,Particulate feeder,Particulate feeder,,,,none,N,N,LC,26,GFST,North Atlantic,Northwest Atlantic,Spring 2015,2018,Wieczorek et al. 2018,
Benthosema glaciale,Glacier lantern fish,Myctophiformes,Myctophidae,,4,47,69,0.68115942,,,,,,pelagic-oceanic,350,Particulate feeder,Particulate feeder,,,,none,N,N,LC,27,GFST,North Atlantic,Northwest Atlantic,Spring 2015,2018,Wieczorek et al. 2018,
Gonostoma denudatum,,Stomiiformes,Gonostomatidae,,3.3,5,5,1,,,,,,bathypelagic,400,Particulate feeder,Particulate feeder,,,,none,N,N,LC,31,GFST,North Atlantic,Northwest Atlantic,Spring 2015,2018,Wieczorek et al. 2018,
Sphyrna zygaena,Smooth hammerhead,Carcharhiniformes,Sphyrnidae,,4.9,2,1154,0.001733102,,,,,,pelagic-oceanic,10,,Active predation,,,,commercial,N,Y,VU,85,EAFR,Indian Ocean,South Indian (South African coast),1978-2000,2002,Cliff et. al 2002,
Carcharhinus brachyurus,Copper shark,Carcharhiniformes,Carcharhinidae,,4.5,1,1404,0.000712251,,,,,,reef-associated,180,Active predation,Active predation,,,,minor commercial,N,Y,VU,87,EAFR,Indian Ocean,South Indian (South African coast),1978-2000,2002,Cliff et. al 2002,
Carcharhinus plumbeus,Sandbar shark,Carcharhiniformes,Carcharhinidae,,4.5,0,379,0,0,,,,,benthopelagic,42.5,,Active predation,,,,commercial,N,Y,VU,88,EAFR,Indian Ocean,South Indian (South African coast),1978-2000,2002,Cliff et. al 2002,
Carcharias taurus,Sand tiger shark,Carcharhiniformes,Carcharhinidae,,4.5,1,2268,0.000440917,,,,,,reef-associated,25,"Active predation, benthic foraging",Active predation,Benthic foraging,Schooling,Solitary,commercial,N,Y,CR,58,EAFR,Indian Ocean,South Indian (South African coast),1978-2000,2002,Cliff et. al 2002,
Carcharodon carcharias,Great white shark,Carcharhiniformes,Carcharhinidae,,4.5,2,524,0.003816794,,,,,,pelagic-oceanic,125,,Active predation,,,,minor commercial,N,Y,VU,86,EAFR,Indian Ocean,South Indian (South African coast),1978-2000,2002,Cliff et. al 2002,
Galeocerdo cuvier,Tiger shark,Carcharhiniformes,Carcharhinidae,,4.5,38,505,0.075247525,,,,,,benthopelagic,70,,Active predation,,,,commercial,N,Y,NT,64,EAFR,Indian Ocean,South Indian (South African coast),1978-2000,2002,Cliff et. al 2002,
Isurus oxyrinchus,Shortfin mako,Lamniformes,Lamnidae,,4.5,2,231,0.008658009,,,,,,pelagic-oceanic,125,,Active predation,,,,minor commercial,N,Y,NT,83,EAFR,Indian Ocean,South Indian (South African coast),1978-2000,2002,Cliff et. al 2002,
Carcharhinus limbatus,Blacktip shark,Carcharhiniformes,Carcharhinidae,,4.4,4,1785,0.002240896,,,,,,reef-associated,30,"Active predation, benthic foraging",Active predation,Benthic foraging,,,commercial,N,Y,VU,55,EAFR,Indian Ocean,South Indian (South African coast),1978-2000,2002,Cliff et. al 2002,
Carcharhinus amboinensis,Pigeye shark,Carcharhiniformes,Carcharhinidae,,4.3,0,222,0,0,,,,,reef-associated,75,"Active predation, benthic foraging",Active predation,Benthic foraging,,,minor commercial,N,Y,NT,74,EAFR,Indian Ocean,South Indian (South African coast),1978-2000,2002,Cliff et. al 2002,
Carcharhinus leucas,Bull shark,Carcharhiniformes,Carcharhinidae,,4.3,4,661,0.006051437,,,,,,reef-associated,76.5,"Active predation, benthic foraging, scavenging",Active predation,Benthic foraging,,,commercial,N,Y,NT,88,EAFR,Indian Ocean,South Indian (South African coast),1978-2000,2002,Cliff et. al 2002,
Carcharhinus obscurus,Dusky Shark,Carcharhiniformes,Carcharhinidae,,4.3,4,2741,0.001459321,,,,,,reef-associated,400,"Active predation, benthic foraging, scavenging",Active predation,Benthic foraging,,,commercial,N,Y,VU,88,EAFR,Indian Ocean,South Indian (South African coast),1978-2000,2002,Cliff et. al 2002,
Sphyrna mokarran,Great hammerhead,Carcharhiniformes,Sphyrnidae,,4.3,0,177,0,0,,,,,pelagic-oceanic,50,,Active predation,,,,commercial,N,N,EN,86,EAFR,Indian Ocean,South Indian (South African coast),1978-2000,2002,Cliff et. al 2002,
Carcharhinus brevipinna,Spinner shark,Carcharhiniformes,Carcharhinidae,,4.2,0,1699,0,0,,,,,reef-associated,50,"Active predation, benthic foraging",Active predation,Benthic foraging,Schooling,,commercial,N,Y,VU,62,EAFR,Indian Ocean,South Indian (South African coast),1978-2000,2002,Cliff et. al 2002,
Sphyrna lewini,Scalloped hammerhead,Carcharhiniformes,Sphyrnidae,,4.1,2,1916,0.001043841,,,,,,pelagic-oceanic,12.5,,Active predation,,,,commercial,N,Y,VU,81,EAFR,Indian Ocean,South Indian (South African coast),1978-2000,2002,Cliff et. al 2002,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
